癌症	/cancer/
手术	/(surgical) operation/surgery/CL:個|个[ge4]/
手续	/procedure/CL:道[dao4],個|个[ge4]/formalities/
受伤	/to sustain injuries/wounded (in an accident etc)/harmed/
寿命	/life span/life expectancy/lifetime (of a machine)/
书架	/bookshelf/CL:個|个[ge4]/
输入	/to import/to input/
熟练	/practiced/proficient/skilled/skillful/
鼠标	/mouse (computing)/
数据	/data/
数码	/number/numerals/figures/digital/amount/numerical code/
摔倒	/to fall down/to slip and fall/to throw sb to the ground/
双方	/bilateral/both sides/both parties involved/
说服	/to persuade/to convince/to talk sb over/Taiwan pr. [shui4 fu2]/
丝绸	/silk cloth/silk/
思想	/thought/thinking/idea/ideology/CL:個|个[ge4]/
似乎	/it seems; seemingly; as if/
随身	/to (carry) on one's person/to (take) with one/
损失	/loss/damage/CL:個|个[ge4]/to lose/to suffer damage/
台阶	/steps/flight of steps/step (over obstacle)/fig. way out of an embarrassing situation/bench (geology)/
太极拳	/shadowboxing or Taiji, T'aichi or T'aichichuan/traditional form of physical exercise or relaxation/a martial art/
淘气	/naughty/mischievous/
讨价还价	/to haggle over price/to bargain/
特色	/characteristic/distinguishing feature or quality/
提倡	/to promote/to advocate/
题目	/subject; title; topic (CL:個|个[ge4])/exercise or exam question (CL:道[dao4])/
体贴	/considerate (of other people's needs)/
体验	/to experience for oneself/
天空	/sky/
天真	/naive/innocent/artless/
调整	/to adjust/adjustment/revision/CL:個|个[ge4]/
通常	/regular; usual; normal/usually; normally/
统一	/to unify; to integrate/unified; integrated/
痛快	/delighted/to one's heart's content/straightforward/also pr. [tong4 kuai5]/
投资	/investment/to invest/
突出	/prominent/outstanding/to give prominence to/to protrude/to project/
土豆	/potato (CL:個|个[ge4])/(Tw) peanut (CL:顆|颗[ke1])/
兔子	/hare/rabbit/CL:隻|只[zhi1]/
推辞	/to decline (an appointment, invitation etc)/
推荐	/to recommend/recommendation/
退休	/to retire (from the workforce); to go into retirement/
外公	/(coll.) mother's father/maternal grandfather/
完整	/complete/intact/
玩具	/plaything/toy/
万一	/just in case/if by any chance/contingency/
威胁	/to threaten; to menace/
维修	/maintenance (of equipment)/to protect and maintain/
围绕	/to revolve around/to center on (an issue)/
尾巴	/tail/colloquial pr. [yi3 ba5]/
委屈	/to feel wronged/to cause sb to feel wronged/grievance/
位于	/to be located at/to be situated at/to lie/
未必	/not necessarily/maybe not/
温柔	/gentle and soft; tender; sweet (commonly used to describe a girl or woman)/
文具	/stationery/item of stationery (pen, pencil, eraser, pencil sharpener etc)/
文学	/literature/CL:種|种[zhong3]/
稳定	/steady/stable/stability/to stabilize/to pacify/
问候	/to give one's respects/to send a greeting/(fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)/
卧室	/bedroom/CL:間|间[jian1]/
无数	/countless/numberless/innumerable/
物质	/matter/substance/material/materialistic/CL:個|个[ge4]/
吸取	/to absorb/to draw (a lesson, insight etc)/to assimilate/
系统	/system/CL:個|个[ge4]/
戏剧	/a drama; a play; theater/script of a play/
夏令营	/summer camp/
下载	/to download/also pr. [xia4 zai4]/
显然	/clearly; evidently; obviously/
现象	/phenomenon/CL:個|个[ge4],種|种[zhong3]/appearance/
香肠	/sausage/CL:根[gen1]/
相当	/equivalent to/appropriate/considerably/to a certain extent/fairly/quite/
相似	/similar; alike/
想念	/to miss/to remember with longing/to long to see again/
享受	/to enjoy/to live it up/pleasure/CL:種|种[zhong3]/
项链	/necklace/CL:條|条[tiao2]/
象征	/emblem/symbol/token/badge/to symbolize/to signify/to stand for/
消极	/negative/passive/inactive/
消失	/to disappear; to fade away/
小气	/stingy/miserly/narrow-minded/petty/
孝顺	/filial/dutiful/devoted to one's parents (and grandparents etc)/to show filial piety towards (an older family member)/filial piety/
写作	/to write/to compose/writing/written works/
心理	/psychology/mentality/
心脏	/heart/CL:顆|颗[ke1],個|个[ge4]/
信任	/to trust/to have confidence in/
行为	/action/conduct/behavior/activity/
形容	/to describe/(literary) countenance; appearance/
形势	/circumstances/situation/terrain/CL:個|个[ge4]/
形状	/form; shape/CL:個|个[ge4]/
幸运	/fortunate/lucky/fortune/luck/
兄弟	/brothers/younger brother/CL:個|个[ge4]/I, me (humble term used by men in public speech)/brotherly/fraternal/
虚心	/open-minded/humble/
宣布	/to declare/to announce/to proclaim/
学术	/learning/science/academic/CL:個|个[ge4]/
询问	/to inquire/
训练	/to train/to drill/training/CL:個|个[ge4]/
押金	/deposit/down payment/
牙齿	/tooth/dental/CL:顆|颗[ke1]/
宴会	/banquet/feast/dinner party/CL:席[xi2],個|个[ge4]/
样式	/type/style/
业余	/in one's spare time/outside working hours/amateur (historian etc)/
依然	/still; as before/
一旦	/in case (sth happens)/if/once (sth happens, then...)/when/in a short time/in one day/
一致	/consistent; unanimous; in agreement/together; in unison/
一再	/repeatedly/
移民	/to immigrate/to migrate/emigrant/immigrant/
疑问	/question/interrogation/doubt/
以来	/since (a previous event)/
意外	/unexpected/accident/mishap/CL:個|个[ge4]/
议论	/to comment/to talk about/to discuss/discussion/CL:個|个[ge4]/
义务	/duty; obligation (CL:項|项[xiang4])/volunteer (work etc)/
因素	/element/factor/CL:個|个[ge4]/
英俊	/handsome/
营养	/nutrition/nourishment/CL:種|种[zhong3]/
应付	/to deal with; to cope/
应用	/to put to use; to apply/practical; applied (science, linguistics etc)/application; practical use/(computing) app/
拥挤	/crowded/to throng/congestion/
勇气	/courage/valor/
用功	/diligent/industrious (in one's studies)/to study hard/to make great effort/
优惠	/privilege/favorable (terms)/preferential (treatment)/discount (price)/
优势	/superiority/dominance/advantage/
悠久	/long (tradition, history etc)/
油炸	/to deep fry/
有利	/advantageous; favorable/
娱乐	/to entertain/to amuse/entertainment/recreation/amusement/hobby/fun/joy/
预报	/forecast/
预防	/to prevent/to take precautions against/to protect/to guard against/precautionary/prophylactic/
元旦	/New Year's Day/
员工	/staff; personnel; employee/
愿望	/desire/wish/
运气	/luck (good or bad)/
运用	/to use/to put to use/
灾害	/calamity/disaster/CL:個|个[ge4]/
在乎	/to rest with; to lie in; to be due to (a certain attribute)/(often used in the negative) to care about/
再三	/over and over again/again and again/
赞成	/to approve/to endorse/(literary) to assist/
糟糕	/too bad/how terrible/what bad luck/terrible/bad/
造成	/to bring about; to create; to cause/
责备	/to blame/to criticize/condemnation/reproach/
展开	/to unfold; to spread out; to open up/to launch; to carry out/
掌握	/to grasp (often fig.)/to control/to seize (initiative, opportunity, destiny)/to master/to know well/to understand sth well and know how to use it/fluency/
账户	/bank account/online account/
珍惜	/to treasure/to value/to cherish/
争取	/to fight for/to strive for/to win over/
整个	/whole/entire/total/
整齐	/orderly/neat/even/tidy/
政府	/government/CL:個|个[ge4]/
证件	/certificate; papers; credentials; document; ID/
支票	/check (bank)/cheque/CL:本[ben3]/
指导	/to guide/to give directions/to direct/to coach/guidance/tuition/CL:個|个[ge4]/
制定	/to draw up; to formulate/
制造	/to manufacture; to make/
智慧	/wisdom; intelligence/
秩序	/order (orderly)/order (sequence)/social order/the state (of society)/CL:個|个[ge4]/
中介	/to act as intermediary/to link/intermediate/inter-/agency/agent/
中旬	/middle third of a month/
周到	/thoughtful/considerate/attentive/thorough/also pr. [zhou1 dao5]/
逐步	/progressively/step by step/
竹子	/bamboo/CL:棵[ke1],支[zhi1],根[gen1]/
主持	/to take charge of/to manage or direct/to preside over/to uphold/to stand for (justice etc)/to host (a TV or radio program etc)/(TV) anchor/
主观	/subjective/
主题	/theme/subject/
主任	/director/head/CL:個|个[ge4]/
专家	/expert; specialist/
专心	/to focus one's attention; to concentrate on (doing sth)/
转告	/to pass on/to communicate/to transmit/
装修	/to decorate/interior decoration/to fit up/to renovate/
状况	/condition; state; situation/CL:個|个[ge4]/
资格	/qualifications/seniority/
资料	/material/resources/data/information/profile (Internet)/CL:份[fen4],個|个[ge4]/
姿势	/posture/position/
字幕	/caption/subtitle/
自动	/automatic/voluntarily/
自由	/freedom; liberty/free; unrestricted/CL:種|种[zhong3]/
综合	/comprehensive/composite/synthesized/mixed/to sum up/to integrate/to synthesize/
总共	/altogether; in sum; in all; in total/
总理	/premier/prime minister/CL:個|个[ge4],位[wei4],名[ming2]/
总算	/at long last/finally/on the whole/
总之	/in a word/in short/in brief/
组成	/to form/to make up/to constitute/
组织	/to organize/organization/(biology) tissue/(textiles) weave/CL:個|个[ge4]/
作文	/to write an essay/composition (student essay)/CL:篇[pian1]/
爱护	/to cherish/to treasure/to take care of/to love and protect/
爱惜	/to cherish/to treasure/to use sparingly/
安装	/to install/to erect/to fix/to mount/installation/
把握	/to grasp (also fig.)/to seize/to hold/assurance/certainty/sure (of the outcome)/
办理	/to handle; to transact; to conduct/
傍晚	/in the evening/when night falls/towards evening/at night fall/at dusk/
包裹	/to wrap up/to bind up/bundle/parcel/package/CL:個|个[ge4]/
包括	/to comprise/to include/to involve/to incorporate/to consist of/
宝贝	/treasured object/treasure/darling/baby/cowry/good-for-nothing or queer character/
保持	/to keep/to maintain/to hold/to preserve/
保险	/insurance/to insure/safe/secure/be sure/be bound to/CL:份[fen4]/
抱怨	/to complain/to grumble/to harbor a complaint/to feel dissatisfied/
报道	/to report (news)/report/CL:篇[pian1],份[fen4]/
报社	/newspaper (i.e. a company)/CL:家[jia1]/
本质	/essence/nature/innate character/intrinsic quality/
彼此	/each other; one another/
毕竟	/after all/all in all/when all is said and done/in the final analysis/
避免	/to avert/to prevent/to avoid/to refrain from/
编辑	/to edit/to compile/editor/compiler/
标点	/punctuation/a punctuation mark/to punctuate/CL:個|个[ge4]/
表明	/to make clear/to make known/to state clearly/to indicate/known/
病毒	/virus/
播放	/to broadcast; to transmit (by radio or TV)/
脖子	/neck/CL:個|个[ge4]/
不要紧	/unimportant/not serious/it doesn't matter/never mind/it looks all right, but/
不安	/unpeaceful/unstable/uneasy/disturbed/restless/worried/
不得了	/desperately serious/disastrous/extremely/exceedingly/
不如	/not equal to; not as good as; inferior to/it would be better to/
步骤	/procedure/step/
采访	/to interview/to gather news/to hunt for and collect/to cover/
彩虹	/rainbow/CL:道[dao4]/
参与	/to participate (in sth)/
惭愧	/ashamed/
操心	/to worry about/
测验	/test/to test/CL:次[ci4],個|个[ge4]/
曾经	/once/already/former/previously/ever/(past tense marker used before verb or clause)/
差距	/disparity/gap/
产品	/goods/merchandise/product/CL:個|个[ge4]/
长途	/long distance/
超级	/super-/ultra-/hyper-/
吵架	/to quarrel/to have a row/quarrel/CL:頓|顿[dun4]/
车厢	/carriage/CL:節|节[jie2]/
沉默	/taciturn/uncommunicative/silent/
称呼	/to call; to address as/form of address; appellation/
承认	/to admit/to concede/to recognize/recognition (diplomatic, artistic etc)/to acknowledge/
程度	/degree; level; extent/
成分	/composition; ingredient; element; component/one's social status/CL:個|个[ge4]/
成果	/result/achievement/gain/profit/CL:個|个[ge4]/
成就	/accomplishment/success/achievement/CL:個|个[ge4]/to achieve (a result)/to create/to bring about/
成熟	/mature; ripe/to mature; to ripen/Taiwan pr. [cheng2 shou2]/
成长	/to mature/to grow/growth/
吃亏	/to suffer losses/to come to grief/to lose out/to get the worst of it/to be at a disadvantage/unfortunately/
迟早	/sooner or later/
池塘	/pool/pond/
翅膀	/wing/CL:個|个[ge4],對|对[dui4]/
充电器	/battery charger/
充满	/full of/brimming with/very full/permeated/
抽屉	/drawer/
出版	/to publish/
出色	/remarkable; outstanding/
初级	/junior/primary/
传播	/to disseminate; to propagate; to spread/
传说	/legend; folk tale/to repeat from mouth to mouth; they say that.../
窗帘	/window curtains/
创造	/to create/to bring about/to produce/to set (a record)/
词汇	/vocabulary/list of words (e.g. for language teaching purposes)/word/
辞职	/to resign/
刺激	/to provoke; to irritate; to upset; to stimulate; to excite/irritant/
从此	/from now on/since then/henceforth/
从事	/to go for/to engage in/to undertake/to deal with/to handle/to do/
促进	/to promote (an idea or cause); to advance; boost/
存在	/to exist/to be/existence/
答应	/to answer; to respond/to answer positively; to agree; to accept; to promise/
达到	/to reach; to achieve; to attain/
打交道	/to come into contact with/to have dealings/
打喷嚏	/to sneeze/
打听	/to ask about/to make some inquiries/to ask around/
大方	/generous/magnanimous/stylish/in good taste/easy-mannered/natural and relaxed/
大型	/large/large-scale/
代替	/to replace; to take the place of/
贷款	/a loan/CL:筆|笔[bi3]/to provide a loan (e.g. bank)/to raise a loan (from e.g. a bank)/
单纯	/simple/pure/unsophisticated/merely/purely/
单独	/alone/by oneself/on one's own/
单元	/unit (forming an entity)/element/(in a residential building) entrance or staircase/
胆小鬼	/coward/
当地	/local/
当心	/to take care/to look out/
岛屿	/island/
导演	/to direct/director (film etc)/
导致	/to lead to; to create; to cause; to bring about/
到达	/to reach; to arrive/
道德	/virtue/morality/ethics/CL:種|种[zhong3]/
等待	/to wait; to wait for/
的确	/really/indeed/
地道	/authentic/genuine/proper/
地理	/geography/
地区	/local/regional/district (not necessarily formal administrative unit)/region/area/as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)/CL:個|个[ge4]/
地位	/position/status/place/CL:個|个[ge4]/
点心	/light refreshments/pastry/dim sum (in Cantonese cooking)/dessert/
