"保持⠀";"bǎochí";"/to keep/to maintain/to hold/to preserve//to keep/to maintain/to hold/to preserve";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保留 (retain); 保险 (insurance)";"持 (to hold)";"Other words using this character: 坚持 (persist); 支持 (support); 持续 (continue); 主持 (host)";"❈ 保持冷静。";"<i>bǎochí lěngjìng.</i><br></br>Maintain composure.";"❈ 保持健康的生活方式。";"<i>bǎochí jiànkāng de shēnghuó fāngshì.</i><br></br>Maintain a healthy lifestyle.";"❈ 保持微笑。";"<i>bǎochí wēixiào.</i><br></br>Keep smiling.";"🐇 魏无羡努力保持自己的微笑，不让别人看出内心的痛苦。";"<i>wèiwúxiàn nǔlì bǎochí zìjǐ de wēixiào, bùràng biéren kànchū nèixīn de tòngkǔ.</i><br></br>Wei Wuxian tries to maintain his smile and not let others see his inner pain.";"♻❈ 危险来临时，我们要保持冷静。";"<i>wēixiǎn lái línshí, wǒmen yào bǎochí lěngjìng.</i><br></br>When danger comes, we need to stay calm."
"老实⠀";"lǎoshi";"/honest; sincere/well-behaved/naive; gullible//honest; sincere/well-behaved/naive; gullible";"老 (old)";"Other words using this character: 老师 (teacher); 老 (old); 老虎 (tiger); 老板 (boss); 老鼠 (rat); 老百姓 (ordinary people); 老婆 (wife)";"实 (real)";"Other words using this character: 其实 (actually); 诚实 (honest); 确实 (indeed); 实际 (reality); 实在 (really); 果实 (fruit); 结实 (sturdy); 实习 (internship); 实验 (experiment); 实话 (truth)";"❈ 她看起来很老实，很容易被骗。";"<i>tā kànqǐlai hěn lǎoshí, hěn róngyì bèi piàn.</i><br></br>She looks very naive and is easily deceived.";"❈ 这个孩子很老实，从不惹事。";"<i>zhège háizi hěn lǎoshí, cóngbù rěshì.</i><br></br>This child is well-behaved and never causes trouble.";"❈ 他是一个老实人，从不说谎。";"<i>tā shì yīgè lǎoshírén, cóngbù shuōhuǎng.</i><br></br>He is an honest person and never lies.";"🐇 金凌虽然脾气暴躁，但是内心还是一个老实的孩子。";"<i>jīnlíng suīrán píqi bàozào, dànshì nèixīn háishi yīgè lǎoshí de háizi.</i><br></br>Although Jin Ling has a bad temper, inside he is still an honest child."
"老婆⠀";"lǎopó";"/(coll.) wife//(coll.) wife";"老 (old)";"Other words using this character: 老师 (teacher); 老 (old); 老虎 (tiger); 老板 (boss); 老鼠 (rat); 老百姓 (ordinary people); 老实 (honest)";"婆 (grandmother)";"There are no other HSK words in this level (or before) using this character.";"🐇 魏无羡对江澄调侃说：“江老婆，你今天怎么这么懒？”";"<i>wèiwúxiàn duì jiāngchéng tiáokǎn shuō ： “ jiāng lǎopó, nǐ jīntiān zěnme zhème lǎn? ”</i><br></br>Wei Wuxian teased Jiang Cheng, saying, ""Jiang wife, why are you so lazy today?"""
"乐观⠀";"lèguān";"/optimistic; hopeful//optimistic; hopeful";"乐 (happy)";"Other words using this character: 快乐 (happy); 音乐 (music); 娱乐 (entertain); 俱乐部 (club); 乐器 (musical instrument)";"观 (observe)";"Other words using this character: 参观 (visit); 观众 (spectators); 悲观 (pessimistic); 观察 (observe); 观念 (notion); 客观 (objective); 主观 (subjective); 观点 (viewpoint)";"❈ 乐观的心态能帮助我们度过难关。";"<i>lèguān de xīntài néng bāngzhù wǒmen dùguònánguān.</i><br></br>An optimistic mindset can help us get through tough times.";"❈ 他总是保持乐观的态度。";"<i>tā zǒngshì bǎochí lèguān de tàidu.</i><br></br>He always maintains an optimistic attitude.";"❈ 她是一个很乐观的人。";"<i>tā shì yīgè hěn lèguān de rén.</i><br></br>She is a very optimistic person.";"❈ 她的乐观精神感染了周围的人。";"<i>tā de lèguān jīngshén gǎnrǎn le zhōuwéi de rén.</i><br></br>Her optimistic spirit infects the people around her."
"雷⠀";"léi";"/thunder/(bound form) (military) mine, as in 地雷[di4 lei2] land mine/(coll.) to shock; to stun; to astound/(Tw) (coll.) spoiler/(Tw) (coll.) to reveal plot details to (sb)//thunder; (bound form) (military) mine, as in 地雷[dì léi] land mine; (coll.) to shock; to stun; to astound; (Tw) (coll.) spoiler; (Tw) (coll.) to reveal plot details to (sb); surname Lei";"雷 (thunder)";"There are no other HSK words in this level (or before) using this character.";"❈ 别再给我雷剧情了，我还没看呢。";"<i>bié zài gěi wǒléi jùqíng le, wǒ hái méi kàn ne.</i><br></br>Don't spoil the plot for me, I haven't watched it yet.";"❈ 今天下午突然雷了，把我吓了一跳。";"<i>jīntiānxiàwǔ tūrán léi le, bǎ wǒ xiàleyītiào.</i><br></br>There was a sudden thunder this afternoon, which startled me.";"🐇 蓝忘机的出现就像一道雷，让所有人都感到震惊。";"<i>lánwàngjī de chūxiàn jiù xiàng yīdào léi, ràng suǒyǒurén dōu gǎndào zhènjīng.</i><br></br>Lan Wangji's appearance is like thunder, shocking everyone.";"♻❈ 他害怕闪电和雷声。";"<i>tā hàipà shǎndiàn hé léishēng.</i><br></br>He is afraid of lightning and thunder.";"♻❈ 他害怕雷雨和闪电。";"<i>tā hàipà léiyǔ hé shǎndiàn.</i><br></br>He is afraid of thunderstorms and lightning."
"类型⠀";"lèixíng";"/type; kind; category/(computer programming) type//type; kind; category/(computer programming) type";"类 (type)";"Other words using this character: 人类 (humanity); 种类 (category)";"型 (type)";"Other words using this character: 大型 (large)";"❈ 这个问题属于哪种类型？";"<i>zhège wèntí shǔyú nǎ zhǒng lèixíng?</i><br></br>What kind of category does this problem belong to?";"❈ 这本书属于哪种类型？";"<i>zhè běnshū shǔyú nǎ zhǒng lèixíng?</i><br></br>What category does this book belong to?";"❈ 这是一种新的类型的手机。";"<i>zhèshì yīzhǒng xīn de lèixíng de shǒujī.</i><br></br>This is a new type of phone.";"🐇 蓝忘机的音乐类型是古典与现代的结合。";"<i>lánwàngjī de yīnyuè lèixíng shì gǔdiǎn yǔ xiàndài de jiéhé.</i><br></br>Lan Wangji's music style is a combination of classical and modern.";"♻❈ 这种皮肤类型很敏感。";"<i>zhèzhǒng pífū lèixíng hěn mǐngǎn.</i><br></br>This skin type is very sensitive."
"冷淡⠀";"lěngdàn";"/cold/indifferent//cold/indifferent";"冷 (cold)";"Other words using this character: 冷 (cold); 冷静 (calm)";"淡 (insipid)";"Other words using this character: 淡 (insipid); 清淡 (light)";"❈ 他对我很冷淡。";"<i>tā duì wǒ hěn lěngdàn.</i><br></br>He is very cold to me.";"❈ 他的冷淡让我感到很失望。";"<i>tā de lěngdàn ràng wǒ gǎndào hěn shīwàng.</i><br></br>His coldness makes me very disappointed.";"❈ 她的态度显得有些冷淡。";"<i>tā de tàidu xiǎnde yǒuxiē lěngdàn.</i><br></br>Her attitude seems a bit indifferent.";"❈ 她对这个问题显得很冷淡。";"<i>tā duì zhège wèntí xiǎnde hěn lěngdàn.</i><br></br>She seems very indifferent to this issue.";"❈ 他的态度显得有些冷淡。";"<i>tā de tàidu xiǎnde yǒuxiē lěngdàn.</i><br></br>His attitude seems a bit cold."
"梨⠀";"lí";"/pear/CL:個|个[ge4]//pear/CL:个[gè]";"梨 (pear)";"There are no other HSK words in this level (or before) using this character.";"❈ 她喜欢吃梨。";"<i>tā xǐhuan chī lí.</i><br></br>She likes to eat pears.";"❈ 梨是一种很健康的水果。";"<i>lí shì yīzhǒng hěn jiànkāng de shuǐguǒ.</i><br></br>Pears are a very healthy fruit.";"❈ 这个梨很甜。";"<i>zhège lí hěntián.</i><br></br>This pear is very sweet.";"❈ 梨是一种水果。";"<i>lí shì yīzhǒng shuǐguǒ.</i><br></br>Pear is a kind of fruit."
"离婚⠀";"líhūn";"/to divorce//to divorce";"离 (leave)";"Other words using this character: 离 (leave); 离开 (depart); 距离 (distance)";"婚 (marry)";"Other words using this character: 结婚 (marry); 婚礼 (wedding); 婚姻 (marriage)";"❈ 他们决定离婚了。";"<i>tāmen juédìng líhūn le.</i><br></br>They have decided to get a divorce.";"❈ 离婚对孩子的影响很大。";"<i>líhūn duì háizi de yǐngxiǎng hěndà.</i><br></br>Divorce has a big impact on children.";"❈ 她不愿意离婚，但是没有办法。";"<i>tā bù yuànyì líhūn, dànshì méiyǒu bànfǎ.</i><br></br>She doesn't want to divorce, but there is no other way.";"🐇 蓝曦臣的离婚让他对婚姻产生了很大的怀疑。";"<i>lánxīchén de líhūn ràng tā duì hūnyīn chǎnshēng le hěndà de huáiyí.</i><br></br>Lan Xichen's divorce made him very skeptical about marriage.";"♻❈ 他们正在办理离婚手续。";"<i>tāmen zhèngzài bànlǐ líhūn shǒuxù.</i><br></br>They are handling the divorce procedures."
"厘米⠀";"límǐ";"/centimeter//centimeter";"厘 (centi-)";"There are no other HSK words in this level (or before) using this character.";"米 (rice)";"Other words using this character: 米饭 (rice); 米 (rice); 玉米 (corn)";"❈ 这个尺子可以测量厘米。";"<i>zhège chǐzi kěyǐ cèliáng límǐ.</i><br></br>This ruler can measure centimeters.";"❈ 这个线段有十厘米长。";"<i>zhège xiànduàn yǒu shílímǐ cháng.</i><br></br>This line segment is ten centimeters long.";"❈ 这个箱子的宽度是二十厘米。";"<i>zhège xiāngzi de kuāndù shì èrshílímǐ.</i><br></br>The width of this box is twenty centimeters.";"🐇 蓝曦臣的绣花鞋跟有一厘米的磨损。";"<i>lánxīchén de xiùhuāxié gēn yǒu yī límǐ de mósǔn.</i><br></br>There is a centimeter of wear on Lan Xichen's embroidered shoes."
"立即⠀";"lìjí";"/immediately//immediately";"立 (stand)";"Other words using this character: 成立 (establish); 立刻 (immediate); 独立 (independent); 建立 (establish)";"即 (prompt)";"Other words using this character: 即使 (even if)";"❈ 有问题请立即联系我们。";"<i>yǒu wèntí qǐng lìjí liánxì wǒmen.</i><br></br>Please contact us immediately if there are any problems.";"❈ 他立即做出了回应。";"<i>tā lìjí zuòchū le huíyìng.</i><br></br>He immediately made a response.";"❈ 请立即离开这个房间。";"<i>qǐng lìjí líkāi zhège fángjiān.</i><br></br>Please leave this room immediately.";"🐇 蓝曦臣听到弟弟遇险的消息后，立即展开搜救。";"<i>lánxīchén tīngdào dìdi yùxiǎn de xiāoxi hòu, lìjí zhǎnkāi sōujiù.</i><br></br>Lan Xichen immediately launched a rescue operation upon hearing the news of his brother's danger.";"♻❈ 请立即通知医生，这是紧急情况。";"<i>qǐng lìjí tōngzhī yīshēng, zhèshì jǐnjíqíngkuàng.</i><br></br>Please inform the doctor immediately, this is an emergency."
"利润⠀";"lìrùn";"/profits//profits";"利 (advantage)";"Other words using this character: 流利 (fluent); 顺利 (smoothly); 利息 (interest); 利用 (exploit); 有利 (advantageous); 利益 (benefit); 权利 (right); 胜利 (victory)";"润 (moist)";"Other words using this character: 湿润 (moist)";"❈ 他们一直在追求更高的利润。";"<i>tāmen yīzhí zài zhuīqiú gēng gāo de lìrùn.</i><br></br>They have been pursuing higher profits.";"❈ 今年的利润比去年增加了。";"<i>jīnnián de lìrùn bǐ qùnián zēngjiā le.</i><br></br>This year's profits have increased compared to last year.";"❈ 这家公司的利润很高。";"<i>zhèjiā gōngsī de lìrùn hěn gāo.</i><br></br>This company has high profits.";"🐇 金子轩的生意越来越好，利润也在增加。";"<i>jīnzi xuān de shēngyi yuèláiyuè hǎo, lìrùn yě zài zēngjiā.</i><br></br>Jin Zixuan's business is getting better and better, and the profits are increasing.";"♻❈ 公司的利润之下，隐藏着许多问题。";"<i>gōngsī de lìrùn zhīxià, yǐncáng zhe xǔduō wèntí.</i><br></br>Beneath the company's profits, there are many hidden issues."
"利益⠀";"lìyì";"/benefit/(in sb's) interest/CL:個|个[ge4]//benefit/(in sb's) interest/CL:个[gè]";"利 (advantage)";"Other words using this character: 流利 (fluent); 顺利 (smoothly); 利息 (interest); 利用 (exploit); 有利 (advantageous); 利润 (profits); 权利 (right); 胜利 (victory)";"益 (benefit)";"There are no other HSK words in this level (or before) using this character.";"❈ 我们应该为了大家的利益着想。";"<i>wǒmen yīnggāi wèile dàjiā de lìyì zhuóxiǎng.</i><br></br>We should consider everyone's interests.";"❈ 这个政策对我们有很多利益。";"<i>zhège zhèngcè duì wǒmen yǒu hěnduō lìyì.</i><br></br>This policy has many benefits for us.";"❈ 他们为了自己的利益不择手段。";"<i>tāmen wèile zìjǐ de lìyì bùzéshǒuduàn.</i><br></br>They spare no effort for their own interests.";"♻❈ 我们需要考虑全局的利益。";"<i>wǒmen xūyào kǎolǜ quánjú de lìyì.</i><br></br>We need to consider the overall situation.";"♻❈ 我们需要考虑长远利益。";"<i>wǒmen xūyào kǎolǜ chángyuǎnlìyì.</i><br></br>We need to consider long-term benefits."
"连续⠀";"liánxù";"/continuous/in a row/serial/consecutive//continuous/in a row/serial/consecutive";"连 (link)";"Other words using this character: 连 (link); 连忙 (promptly)";"续 (continue)";"Other words using this character: 继续 (continue); 持续 (continue); 手续 (procedure); 陆续 (successively)";"❈ 这个节目已经连续播放了一个星期。";"<i>zhège jiémù yǐjīng liánxù bōfàng le yīgè xīngqī.</i><br></br>This program has been airing consecutively for a week.";"❈ 他们连续赢得了三场比赛。";"<i>tāmen liánxù yíngdé le sānchǎng bǐsài.</i><br></br>They won three games in a row.";"❈ 他连续工作了十个小时。";"<i>tā liánxù gōngzuò le shígè xiǎoshí.</i><br></br>He worked continuously for ten hours.";"🐇 江澄连续几个月都在闭关修炼。";"<i>jiāngchéng liánxù jǐge yuè dōu zài bìguān xiūliàn.</i><br></br>Jiang Cheng has been in closed-door cultivation for several consecutive months.";"♻❈ 她的运气不太好，连续遇到了一些麻烦。";"<i>tā de yùnqi bùtàihǎo, liánxù yùdào le yīxiē máfan.</i><br></br>Her luck is not very good, she has encountered some troubles in a row."
"恋爱⠀";"liànài";"/(romantic) love/CL:個|个[ge4],場|场[chang3]/in love/to have an affair//(romantic) love/CL:个[gè],场[chǎng]/in love/to have an affair";"恋 (love)";"There are no other HSK words in this level (or before) using this character.";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable); 爱情 (romance); 爱心 (compassion); 亲爱 (dear); 热爱 (love ardently); 爱护 (cherish); 爱惜 (cherish); 疼爱 (love dearly)";"❈ 他们已经恋爱了好几年。";"<i>tāmen yǐjīng liànài le hǎojǐnián.</i><br></br>They have been in love for several years.";"❈ 她对恋爱一无所知。";"<i>tā duì liànài yīwúsuǒzhī.</i><br></br>She knows nothing about love.";"❈ 他们的恋爱故事很感人。";"<i>tāmen de liànài gùshi hěn gǎnrén.</i><br></br>Their love story is very touching.";"🐇 金凌对恋爱有些迷茫，他觉得自己还太年轻。";"<i>jīnlíngduì liànài yǒuxiē mímáng, tā juéde zìjǐ hái tài niánqīng.</i><br></br>Jin Ling is a bit confused about romantic love; he feels he is still too young.";"♻🐇 金凌的叔叔和叔叔之间有一段动人的同性恋爱情故事，深深感动了他。";"<i>jīnlíng de shūshu hé shūshu zhījiān yǒu yīduàn dòngrén de tóngxìngliàn àiqínggùshi, shēnshēngǎndòng le tā.</i><br></br>Jin Ling's uncles have a touching gay love story, deeply moving him."
"良好⠀";"liánghǎo";"/good/favorable/well/fine//good/favorable/well/fine";"良 (good)";"Other words using this character: 善良 (kindhearted)";"好 (good)";"Other words using this character: 好 (good); 好吃 (fond of eating); 爱好 (hobby); 好处 (benefit); 好像 (seem like); 友好 (friendly); 正好 (just); 只好 (have to); 最好 (best); 好奇 (curious)";"❈ 这个方案得到了良好的反馈。";"<i>zhège fāngàn dédào le liánghǎo de fǎnkuì.</i><br></br>This plan has received favorable feedback.";"❈ 她的健康状况一直很良好。";"<i>tā de jiànkāngzhuàngkuàng yīzhí hěn liánghǎo.</i><br></br>Her health condition has always been very good.";"❈ 他的表现非常良好。";"<i>tā de biǎoxiàn fēicháng liánghǎo.</i><br></br>His performance is very good.";"♻❈ 牛奶是钙的良好来源。";"<i>niúnǎi shì gài de liánghǎo láiyuán.</i><br></br>Milk is a good source of calcium.";"♻❈ 保持良好的身体状态很重要。";"<i>bǎochíliánghǎo de shēntǐ zhuàngtài hěn zhòngyào.</i><br></br>It's important to maintain good physical health."
"粮食⠀";"liángshi";"/foodstuff/cereals/CL:種|种[zhong3]//foodstuff/cereals/CL:种[zhǒng]";"粮 (grain)";"There are no other HSK words in this level (or before) using this character.";"食 (eat)";"Other words using this character: 零食 (snacks); 食物 (food)";"❈ 这个地区的粮食产量很高。";"<i>zhège dìqū de liángshíchǎnliàng hěn gāo.</i><br></br>The grain production in this region is very high.";"❈ 这个国家的粮食供应充足。";"<i>zhège guójiā de liángshígōngyìng chōngzú.</i><br></br>The food supply in this country is sufficient.";"❈ 我们需要关注粮食安全问题。";"<i>wǒmen xūyào guānzhù liángshíānquán wèntí.</i><br></br>We need to pay attention to food security issues.";"❈ 我们需要确保粮食的供应。";"<i>wǒmen xūyào quèbǎo liángshi de gōngyìng.</i><br></br>We need to ensure the supply of foodstuffs.";"❈ 这个国家的粮食产量很高。";"<i>zhège guójiā de liángshíchǎnliàng hěn gāo.</i><br></br>This country has a high grain output."
