"唉⠀";"āi||ài";"/alas/oh dear//interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh||alas; oh dear";"唉 (sigh)";"There are no other HSK words in this level (or before) using this character.";"❈ 唉，我真的不知道该怎么办。";"<i>āi, wǒ zhēnde bù zhīdào gāi zěnmebàn.</i><br></br>Oh dear, I really don't know what to do.";"❈ 唉，这个消息真让人难过。";"<i>āi, zhège xiāoxi zhēnràngrén nánguò.</i><br></br>Alas, this news is really sad.";"❈ 唉，这件事真让人伤心。";"<i>āi, zhèjiàn shì zhēnràngrén shāngxīn.</i><br></br>Alas, this is really heartbreaking.";"🐇 唉，这世上怎么会有如此狡诈的人。";"<i>āi, zhè shìshàng zěnme huì yǒu rúcǐ jiǎozhà de rén.</i><br></br>Oh dear, how can there be such cunning people in this world."
"爱心⠀";"àixīn";"/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)//compassion/kindness/care for others/love/CL:片[piàn]/charity (bazaar, golf day etc)/heart (the symbol ♥)";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable); 爱情 (romance); 亲爱 (dear); 热爱 (love ardently); 爱护 (cherish); 爱惜 (cherish); 恋爱 (love); 疼爱 (love dearly)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 她的爱心感动了很多人。";"<i>tā de àixīn gǎndòng le hěnduō rén.</i><br></br>Her compassion touched many people.";"❈ 这个慈善机构一直在倡导爱心。";"<i>zhège císhànjīgòu yīzhí zài chàngdǎo àixīn.</i><br></br>This charity has been advocating love and compassion.";"❈ 送一颗爱心给需要帮助的人。";"<i>sòng yīkē àixīn gěi xūyào bāngzhù de rén.</i><br></br>Send a heart to those in need of help.";"🐇 温情在慈善晚宴上展现了她的爱心。";"<i>wēnqíng zài císhàn wǎnyàn shàng zhǎnxiàn le tā de àixīn.</i><br></br>Wen Qing showed her compassion at the charity gala.";"♻🐇 魏无羡对待小狗总是充满爱心，他特别喜欢犬。";"<i>wèiwúxiàn duìdài xiǎogǒu zǒngshì chōngmǎn àixīn, tā tèbié xǐhuan quǎn.</i><br></br>Wei Wuxian is always loving towards puppies; he especially likes dogs."
"绝对⠀";"juéduì";"/absolute; unconditional//absolute; unconditional";"绝 (extinct)";"Other words using this character: 拒绝 (refuse)";"对 (opposite)";"Other words using this character: 对不起 (sorry); 对 (opposite); 对于 (regarding); 对话 (talk); 对面 (opposite); 反对 (oppose); 对比 (contrast); 对待 (treat); 对手 (opponent); 面对 (face)";"❈ 他对这个决定绝对不会改变。";"<i>tā duì zhège juédìng juéduì bùhuì gǎibiàn.</i><br></br>He will absolutely not change his decision.";"❈ 这是绝对的事实。";"<i>zhèshì juéduì de shìshí.</i><br></br>This is an absolute fact.";"❈ 她的忠诚是绝对的。";"<i>tā de zhōngchéng shì juéduì de.</i><br></br>Her loyalty is absolute.";"🐇 蓝忘机对魏无羡的信任是绝对的。";"<i>lánwàngjī duì wèiwúxiàn de xìnrèn shì juéduì de.</i><br></br>Lan Wangji's trust in Wei Wuxian is absolute.";"♻❈ 他的行为绝对是错误的。";"<i>tā de xíngwéi juéduì shì cuòwù de.</i><br></br>His behavior is absolutely wrong."
"军事⠀";"jūnshì";"/military affairs/(attributive) military//military affairs/(attributive) military";"军 (army)";"Other words using this character: 冠军 (champion)";"事 (matter)";"Other words using this character: 事情 (affair); 故事 (story); 同事 (colleague); 事物 (thing); 从事 (to engage in); 人事 (personnel); 事实 (fact); 事先 (in advance)";"❈ 他对军事历史很感兴趣。";"<i>tā duì jūnshì lìshǐ hěngǎnxīngqù.</i><br></br>He is very interested in military history.";"❈ 军事训练需要严格执行。";"<i>jūnshìxùnliàn xūyào yángézhíxíng.</i><br></br>Military training needs to be strictly enforced.";"❈ 这个国家的军事力量很强大。";"<i>zhège guójiā de jūnshìlìliang hěn qiángdà.</i><br></br>This country has a strong military force.";"🐇 蓝曦臣的军事理论深奥博大，为后辈所推崇。";"<i>lánxīchén de jūnshì lǐlùn shēnào bódà, wéi hòubèi suǒ tuīchóng.</i><br></br>Lan Xichen's military theories are profound and extensive, admired by the younger generation.";"♻❈ 陆军在军事行动中发挥了重要作用。";"<i>lùjūn zài jūnshìxíngdòng zhōng fāhuī le zhòngyào zuòyòng.</i><br></br>The ground forces played a crucial role in the military operation."
"开放⠀";"kāifàng";"/to bloom/to open/to be open (to the public)/to open up (to the outside)/to be open-minded/unrestrained by convention/unconstrained in one's sexuality//to bloom/to open/to be open (to the public)/to open up (to the outside)/to be open-minded/unrestrained by convention/unconstrained in one's sexuality";"开 (to open)";"Other words using this character: 开 (to open); 开始 (begin); 离开 (depart); 开玩笑 (joke); 开心 (happy); 公开 (open); 开水 (boiled water); 展开 (unfold); 开发 (develop); 开幕式 (opening ceremony)";"放 (release)";"Other words using this character: 放 (release); 放心 (reassured); 放弃 (abandon); 放暑假 (summer vacation); 放松 (relax); 播放 (broadcast)";"❈ 这个博物馆对公众开放。";"<i>zhège bówùguǎn duì gōngzhòng kāifàng.</i><br></br>This museum is open to the public.";"❈ 她的思想很开放。";"<i>tā de sīxiǎng hěn kāifàng.</i><br></br>Her mind is very open.";"❈ 这朵花已经开放了。";"<i>zhè duǒhuā yǐjīng kāifàng le.</i><br></br>This flower has already bloomed.";"❈ 春天到了，花朵开始开放。";"<i>chūntiān dào le, huāduǒ kāishǐ kāifàng.</i><br></br>Spring is here, and the flowers are starting to bloom."
"开水⠀";"kāishuǐ";"/boiled water/boiling water//boiled water/boiling water";"开 (to open)";"Other words using this character: 开 (to open); 开始 (begin); 离开 (depart); 开玩笑 (joke); 开心 (happy); 公开 (open); 开放 (open-minded); 展开 (unfold); 开发 (develop); 开幕式 (opening ceremony)";"水 (water)";"Other words using this character: 水 (water); 水果 (fruit); 水平 (level); 矿泉水 (mineral water); 胶水 (glue)";"❈ 我想要一杯开水。";"<i>wǒ xiǎngyào yībēi kāishuǐ.</i><br></br>I want a cup of boiled water.";"❈ 这个问题需要用开水来解决。";"<i>zhège wèntí xūyào yòng kāishuǐ lái jiějué.</i><br></br>This problem needs to be solved with boiling water.";"❈ 她每天早上都会喝一杯开水。";"<i>tā měitiān zǎoshang dōu huì hēyībēi kāishuǐ.</i><br></br>She drinks a cup of boiled water every morning.";"🐇 魏无羡煮了壶开水，准备泡茶。";"<i>wèiwúxiàn zhǔ le hú kāishuǐ, zhǔnbèi pàochá.</i><br></br>Wei Wuxian boiled a kettle of water, preparing to make tea."
"砍⠀";"kǎn";"/to chop/to cut down/to throw sth at sb//to chop/to cut down/to throw sth at sb";"砍 (chop)";"There are no other HSK words in this level (or before) using this character.";"❈ 小偷砍了他一刀。";"<i>xiǎotōu kǎn le tā yīdāo.</i><br></br>The thief threw a knife at him.";"❈ 他用斧头砍树。";"<i>tā yòng fǔtóu kǎnshù.</i><br></br>He used an axe to chop down the tree.";"❈ 他砍了一些木柴。";"<i>tā kǎn le yīxiē mùchái.</i><br></br>He chopped some firewood.";"🐇 蓝忘机砍向敌人，剑光闪烁。";"<i>lánwàngjī kǎn xiàng dírén, jiànguāng shǎnshuò.</i><br></br>Lan Wangji chopped at the enemy, the sword light flickering.";"♻❈ 砍伐森林对环境造成了严重的影响。";"<i>kǎnfásēnlín duì huánjìng zàochéng le yánzhòng de yǐngxiǎng.</i><br></br>Deforestation has had a serious impact on the environment."
"看不起⠀";"kànbuqǐ";"/to look down upon/to despise//to look down upon/to despise";"看 (look)";"Other words using this character: 看 (look); 看见 (see); 看法 (opinion); 看望 (visit)";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"起 (rise)";"Other words using this character: 对不起 (sorry); 一起 (together); 起床 (get up); 起来 (beginning); 起飞 (take off); 引起 (give rise to); 了不起 (amazing)";"❈ 不要看不起任何一个人。";"<i>bùyào kànbuqǐ rènhé yīgè rén.</i><br></br>Don't despise anyone.";"❈ 她从不看不起任何人。";"<i>tā cóngbù kànbuqǐ rènhérén.</i><br></br>She never looks down upon anyone.";"❈ 他们看不起那些没有文凭的人。";"<i>tāmen kànbuqǐ nàxiē méiyǒu wénpíng de rén.</i><br></br>They look down upon those without diplomas.";"🐇 蓝曦臣从不看不起任何人，对每个人都一视同仁。";"<i>lánxīchén cóngbù kànbuqǐ rènhérén, duì měige rén dōu yīshìtóngrén.</i><br></br>Lan Xichen never looks down upon anyone and treats everyone equally."
"可见⠀";"kějiàn";"/it can clearly be seen (that this is the case)/it is (thus) clear/clear/visible//it can clearly be seen (that this is the case)/it is (thus) clear/clear/visible";"可 (can)";"Other words using this character: 可以 (can); 可能 (possible); 可爱 (adorable); 可怜 (pitiful); 可是 (but); 可惜 (unfortunately); 可怕 (frightful); 宁可 (preferably); 可靠 (reliable)";"见 (to see)";"Other words using this character: 再见 (goodbye); 看见 (see); 见面 (meet); 意见 (opinion); 不见得 (not necessarily)";"❈ 她的态度可见她对这件事情很在意。";"<i>tā de tàidu kějiàn tā duì zhèjiàn shìqing hěn zàiyì.</i><br></br>Her attitude shows that she cares a lot about this matter.";"❈ 从他的表现可见他很努力。";"<i>cóng tā de biǎoxiàn kějiàn tā hěn nǔlì.</i><br></br>It is clear from his performance that he is working very hard.";"❈ 可见他对这个项目很重视。";"<i>kějiàn tā duì zhège xiàngmù hěn zhòngshì.</i><br></br>It is clear that he values this project.";"🐇 温情的眼神可见她对温宁的深情。";"<i>wēnqíng de yǎnshén kějiàn tā duì wēnníng de shēnqíng.</i><br></br>It is visible from Wen Qing's eyes the deep affection she has for Wen Ning.";"♻❈ 由此可见，他对这个项目很重视。";"<i>yóucǐkějiàn, tā duì zhège xiàngmù hěn zhòngshì.</i><br></br>It can be seen from this that he attaches great importance to this project."
"可怕⠀";"kěpà";"/awful/dreadful/fearful/formidable/frightful/scary/hideous/horrible/terrible/terribly//awful/dreadful/fearful/formidable/frightful/scary/hideous/horrible/terrible/terribly";"可 (can)";"Other words using this character: 可以 (can); 可能 (possible); 可爱 (adorable); 可怜 (pitiful); 可是 (but); 可惜 (unfortunately); 可见 (it is clear); 宁可 (preferably); 可靠 (reliable)";"怕 (fear)";"Other words using this character: 害怕 (afraid); 恐怕 (fear); 哪怕 (even)";"❈ 这个地方看起来很可怕。";"<i>zhège dìfāng kànqǐlai hěn kěpà.</i><br></br>This place looks very dreadful.";"❈ 她的表现让人感到可怕。";"<i>tā de biǎoxiàn ràng rén gǎndào kěpà.</i><br></br>Her performance is frightening.";"❈ 这个恐怖片真的很可怕。";"<i>zhège kǒngbùpiān zhēnde hěn kěpà.</i><br></br>This horror movie is really scary.";"🐇 金凌听到那个故事后，吓得不敢出门，觉得太可怕了。";"<i>jīnlíng tīngdào nàgè gùshi hòu, xià dé bùgǎn chūmén, juéde tài kěpà le.</i><br></br>After hearing that story, Jin Ling was so scared that he didn't dare to go out, finding it too terrifying.";"♻❈ 眼前的困难并不可怕。";"<i>yǎnqián de kùnnán bìng bù kěpà.</i><br></br>The difficulties at present are not frightening."
"克⠀";"kè";"/variant of 剋|克[ke4]//abbr. for 克羅地亞|克罗地亚[Kè luó dì yà], Croatia; (Tw) abbr. for 克羅埃西亞|克罗埃西亚[Kè luó āi xī yà], Croatia; to be able to; to subdue; to restrain; to overcome; gram; Tibetan unit of land area, about 6 ares; Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yán dì] descended from Shennong 神農|神农[Shén nóng] Farmer God";"克 (overcome)";"Other words using this character: 巧克力 (chocolate); 麦克风 (microphone); 克服 (overcome)";"❈ 他每天都会克服困难。";"<i>tā měitiān dōu huì kèfúkùnnán.</i><br></br>He overcomes difficulties every day.";"❈ 这个项目需要克服很多挑战。";"<i>zhège xiàngmù xūyào kèfú hěnduō tiǎozhàn.</i><br></br>This project requires overcoming many challenges.";"❈ 这个食谱需要克数的面粉。";"<i>zhège shípǔ xūyào kèshù de miànfěn.</i><br></br>This recipe requires kilograms of flour.";"❈ 我们需要克服这个问题。";"<i>wǒmen xūyào kèfú zhège wèntí.</i><br></br>We need to overcome this problem."
"客观⠀";"kèguān";"/objective/impartial//objective/impartial";"客 (customer)";"Other words using this character: 不客气 (you're welcome); 客人 (visitor); 顾客 (customer); 客厅 (living room); 好客 (hospitable)";"观 (observe)";"Other words using this character: 参观 (visit); 观众 (spectators); 悲观 (pessimistic); 观察 (observe); 观念 (notion); 主观 (subjective); 观点 (viewpoint); 乐观 (optimistic)";"❈ 我们需要客观地看待这个问题。";"<i>wǒmen xūyào kèguān dì kàndài zhège wèntí.</i><br></br>We need to objectively look at this issue.";"❈ 作为评委，她总是保持客观。";"<i>zuòwéi píngwěi, tā zǒngshì bǎochí kèguān.</i><br></br>As a judge, she always remains objective.";"❈ 他的观点很客观。";"<i>tā de guāndiǎn hěn kèguān.</i><br></br>His viewpoint is very impartial."
"控制⠀";"kòngzhì";"/to control//to control";"控 (control)";"There are no other HSK words in this level (or before) using this character.";"制 (control)";"Other words using this character: 复制 (copy); 制定 (formulate); 制造 (manufacture); 限制 (restrict); 制度 (system); 制作 (make)";"❈ 他很擅长控制自己的情绪。";"<i>tā hěn shàncháng kòngzhì zìjǐ de qíngxù.</i><br></br>He is very good at controlling his emotions.";"❈ 这个按钮可以控制灯的亮度。";"<i>zhège ànniǔ kěyǐ kòngzhì dēng de liàngdù.</i><br></br>This button can control the brightness of the light.";"❈ 控制自己的欲望是一种能力。";"<i>kòngzhì zìjǐ de yùwàng shì yīzhǒng nénglì.</i><br></br>Controlling one's desires is a kind of ability.";"🐇 魏无羡努力控制自己的情绪，不让愤怒冲昏头脑。";"<i>wèiwúxiàn nǔlì kòngzhì zìjǐ de qíngxù, bùràng fènnù chōnghūntóunǎo.</i><br></br>Wei Wuxian tries to control his emotions and not let anger cloud his judgment.";"♻❈ 益虫可以帮助控制害虫的数量。";"<i>yìchóng kěyǐ bāngzhù kòngzhì hàichóng de shùliàng.</i><br></br>Beneficial insects can help control the number of pests."
"口味⠀";"kǒuwèi";"/a person's preferences/tastes (in food)/flavor//a person's preferences/tastes (in food)/flavor";"口 (mouth)";"Other words using this character: 口 (mouth); 入口 (entrance); 出口 (export); 借口 (excuse); 进口 (import); 人口 (population); 胃口 (appetite)";"味 (taste)";"Other words using this character: 味道 (flavor)";"❈ 这种饮料有多种口味可供选择。";"<i>zhèzhǒng yǐnliào yǒu duōzhǒng kǒuwèi kě gōngxuǎnzé.</i><br></br>This drink comes in a variety of flavors to choose from.";"❈ 这家餐厅的口味很地道。";"<i>zhèjiā cāntīng de kǒuwèi hěn dìdao.</i><br></br>The taste of this restaurant is very authentic.";"❈ 他的口味很挑剔，不容易满足。";"<i>tā de kǒuwèi hěn tiāoti, bù róngyì mǎnzú.</i><br></br>His taste is very picky and not easy to satisfy.";"🐇 魏无羡的口味很重，喜欢吃辣的食物。";"<i>wèiwúxiàn de kǒuwèi hěn zhòng, xǐhuan chī là de shíwù.</i><br></br>Wei Wuxian has a strong preference for spicy food.";"♻❈ 这个产品的口味太单一了。";"<i>zhège chǎnpǐn de kǒuwèi tài dānyī le.</i><br></br>The taste of this product is too single."
"夸⠀";"kuā";"/to boast; to exaggerate/to praise//used in 夸克[kuā kè]; to boast; to exaggerate; to praise";"夸 (boast)";"Other words using this character: 夸张 (exaggerate)";"❈ 她夸奖了我的表现。";"<i>tā kuājiǎng le wǒ de biǎoxiàn.</i><br></br>She praised my performance.";"❈ 他总是夸自己的孩子。";"<i>tā zǒngshì kuā zìjǐ de háizi.</i><br></br>He always boasts about his child.";"❈ 他夸大了这件事的影响。";"<i>tā kuādà le zhèjiàn shì de yǐngxiǎng.</i><br></br>He exaggerated the impact of this matter.";"❈ 他夸大了他的成就。";"<i>tā kuādà le tā de chéngjiù.</i><br></br>He exaggerated his achievements."
"扩大⠀";"kuòdà";"/to expand/to enlarge/to broaden one's scope//to expand/to enlarge/to broaden one's scope";"扩 (enlarge)";"There are no other HSK words in this level (or before) using this character.";"大 (big)";"Other words using this character: 大 (big); 大家 (everyone); 大概 (roughly); 大使馆 (embassy); 大约 (approximately); 大夫 (doctor); 大厦 (grand building); 大象 (elephant); 广大 (widespread); 巨大 (huge)";"❈ 政府正在努力扩大就业机会。";"<i>zhèngfǔ zhèngzài nǔlì kuòdà jiùyèjīhuì.</i><br></br>The government is working hard to expand employment opportunities.";"❈ 公司计划扩大业务范围。";"<i>gōngsī jìhuà kuòdà yèwùfànwéi.</i><br></br>The company plans to expand its business scope.";"❈ 他们决定扩大生产规模。";"<i>tāmen juédìng kuòdà shēngchǎn guīmó.</i><br></br>They have decided to expand the production scale.";"🐇 金凌希望扩大自己的朋友圈，结识更多志同道合的人。";"<i>jīnlíng xīwàng kuòdà zìjǐ de péngyouquān, jiéshí gēng duō zhìtóngdàohé de rén.</i><br></br>Jin Ling hopes to expand his circle of friends and meet more like-minded people.";"♻❈ 后年的目标是扩大业务。";"<i>hòu nián de mùbiāo shì kuòdà yèwù.</i><br></br>The goal for the year after next is to expand the business."
"辣椒⠀";"làjiāo";"/hot pepper/chili//hot pepper/chili";"辣 (hot)";"Other words using this character: 辣 (hot)";"椒 (pepper)";"There are no other HSK words in this level (or before) using this character.";"❈ 她不怕吃辣椒。";"<i>tā bùpà chī làjiāo.</i><br></br>She is not afraid to eat hot peppers.";"❈ 辣椒对身体有好处。";"<i>làjiāo duì shēntǐ yǒu hǎochu.</i><br></br>Hot peppers are good for the body.";"❈ 这道菜放了很多辣椒。";"<i>zhè dàocài fàng le hěnduō làjiāo.</i><br></br>This dish has a lot of hot peppers.";"❈ 她不喜欢吃辣椒。";"<i>tā bù xǐhuan chī làjiāo.</i><br></br>She doesn't like to eat chili.";"❈ 辣椒是很多菜系的重要调料。";"<i>làjiāo shì hěnduō càixì de zhòngyào tiáoliào.</i><br></br>Chili is an important seasoning in many cuisines."
"烂⠀";"làn";"/soft; mushy/well-cooked and soft/to rot; to decompose/rotten/worn out/chaotic; messy/utterly; thoroughly/crappy; bad//soft; mushy/well-cooked and soft/to rot; to decompose/rotten/worn out/chaotic; messy/utterly; thoroughly/crappy; bad";"烂 (rotten)";"There are no other HSK words in this level (or before) using this character.";"❈ 这个地方很烂，需要整理一下。";"<i>zhège dìfāng hěnlàn, xūyào zhěnglǐ yīxià.</i><br></br>This place is very messy and needs to be cleaned up.";"❈ 这个苹果已经烂了。";"<i>zhège píngguǒ yǐjīng làn le.</i><br></br>This apple has rotted.";"❈ 他的衣服烂了。";"<i>tā de yīfú làn le.</i><br></br>His clothes are worn out.";"🐇 温宁的衣服烂了。";"<i>wēnníng de yīfú làn le.</i><br></br>Wen Ning's clothes are worn out.";"♻🐇 温情戴着一朵鲜花，笑得很灿烂。";"<i>wēnqíng dàizhe yīduǒ xiānhuā, xiào dé hěn cànlàn.</i><br></br>Wen Qing wore a fresh flower and smiled brightly."
"劳动⠀";"láodòng";"/work/toil/physical labor/CL:次[ci4]//work/toil/physical labor/CL:次[cì]";"劳 (to toil)";"Other words using this character: 劳驾 (excuse me); 疲劳 (fatigue)";"动 (move)";"Other words using this character: 运动 (exercise); 动物 (animal); 动作 (movement); 感动 (moving); 活动 (exercise); 激动 (excite); 动画片 (animated film); 生动 (vivid); 自动 (automatic); 行动 (operation)";"❈ 劳动是创造财富的源泉。";"<i>láodòng shì chuàngzàocáifù de yuánquán.</i><br></br>Labor is the source of wealth creation.";"❈ 他的劳动得到了认可。";"<i>tā de láodòng dédào le rènkě.</i><br></br>His work has been recognized.";"❈ 我们应该尊重一切劳动。";"<i>wǒmen yīnggāi zūnzhòng yīqiè láodòng.</i><br></br>We should respect all labor.";"🐇 蓝曦臣认为，劳动是每个人应该尊重的。";"<i>lánxīchén rènwéi, láodòng shì měige rén yīnggāi zūnzhòng de.</i><br></br>Lan Xichen believes that labor is something that everyone should respect.";"♻❈ 辛勤的劳动是值得尊敬的。";"<i>xīnqín de láodòng shì zhídézūnjìng de.</i><br></br>Hard work is worthy of respect."
