我	wǒ	/I; me; my/
开采	kāicǎi	/to extract (ore or other resource from a mine)/to exploit/to mine/
开除	kāichú	/to expel (a member of an organization)/to fire (an employee)/
开阔	kāikuò	/wide/open (spaces)/to open up/
开朗	kāilǎng	/spacious and well-lit/open and clear/(of character) optimistic/cheerful/carefree/
开明	kāimíng	/enlightened/open-minded/enlightenment/
开辟	kāipì	/to open up/to set up/to establish/
开拓	kāituò	/to break new ground (for agriculture)/to open up (a new seam)/to develop (border regions)/fig. to open up (new horizons)/
开展	kāizhǎn	/to launch/to develop/to unfold/(of an exhibition etc) to open/
开支	kāizhī	/expenditures; expenses (CL:筆|笔[bi3], 項|项[xiang4])/to spend money/(coll.) to pay wages/
刊登	kāndēng	/to carry a story/to publish (in a newspaper or magazine)/
刊物	kānwù	/publication/
勘探	kāntàn	/to explore/to survey/to prospect (for oil etc)/prospecting/
砍伐	kǎnfá	/to hew/to cut down/
侃侃而谈	kǎnkǎn ér tán	/to speak frankly with assurance/
看待	kàndài	/to look upon; to regard/
慷慨	kāngkǎi	/vehement; fervent/generous; magnanimous/
扛	káng	/old variant of 扛[gang1]/
抗议	kàngyì	/to protest/protest/
考察	kǎochá	/to inspect/to observe and study/on-the-spot investigation/
考古	kǎogǔ	/archaeology/
考核	kǎohé	/to examine/to check up on/to assess/to review/appraisal/review/evaluation/
考验	kǎoyàn	/to test/to put to the test/trial/ordeal/
靠拢	kàolǒng	/to draw close to/
磕	kē	/variant of 嗑[ke4]/
科目	kēmù	/academic subject/field of study/
渴望	kěwàng	/to thirst for/to long for/
可观	kěguān	/considerable/impressive/significant/
可口	kěkǒu	/tasty; to taste good/
可恶	kěwù	/repulsive/vile/hateful/abominable/
可行	kěxíng	/feasible/
刻不容缓	kèbùrónghuǎn	/to brook no delay/to demand immediate action/
课题	kètí	/task/problem/issue/
克制	kèzhì	/to restrain/to control/restraint/self-control/
客户	kèhù	/client/customer/
啃	kěn	/to gnaw/to nibble/to bite/
恳切	kěnqiè	/earnest/sincere/
坑	kēng	/variant of 坑[keng1]/
空洞	kōngdòng	/cavity/empty/vacuous/
空前绝后	kōngqiánjuéhòu	/unprecedented and never to be duplicated/the first and the last/unmatched/unique/
空想	kōngxiǎng	/daydream/fantasy/to fantasize/
空虚	kōngxū	/hollow/emptiness/meaningless/
孔	kǒng	/hole/CL:個|个[ge4]/classifier for cave dwellings/
恐怖	kǒngbù	/terrible/frightful/frightening/terror/terrorist/
恐吓	kǒnghè	/to threaten/to menace/
恐惧	kǒngjù	/to be frightened/fear/dread/
空白	kòngbái	/blank space/
空隙	kòngxì	/crack/gap between two objects/gap in time between two events/
口气	kǒuqì	/tone of voice/the way one speaks/manner of expression/tone/
口腔	kǒuqiāng	/oral cavity/
口头	kǒutóu	/oral/verbal/
口音	kǒuyīn	/voice/accent/
扣	kòu	/button/
哭泣	kūqì	/to weep/
枯燥	kūzào	/dry and dull; uninteresting; tedious/
枯萎	kūwěi	/to wilt/to wither/wilted/withered/drained/enervated/exhausted/
苦涩	kǔsè	/bitter and astringent/pained/agonized/
苦尽甘来	kǔjìngānlái	/bitterness finishes, sweetness begins (idiom); the hard times are over, the good times just beginning/
挎	kuà	/to carry (esp. slung over the arm, shoulder or side)/
跨	kuà	/to step across/to stride over/to straddle/to span/
快活	kuàihuo	/happy/cheerful/
宽敞	kuānchang	/spacious/wide/
宽容	kuānróng	/lenient/tolerant/indulgent/charitable/to forgive/
款待	kuǎndài	/to entertain/to be hospitable to/
款式	kuǎnshì	/elegant/elegance/good taste/
筐	kuāng	/basket/CL:隻|只[zhi1]/
旷课	kuàngkè	/to play truant/to cut classes/
框架	kuàngjià	/(construction) frame/(fig.) framework/
况且	kuàngqiě	/moreover/besides/in addition/furthermore/
矿产	kuàngchǎn	/minerals/
亏待	kuīdài	/to treat sb unfairly/
亏损	kuīsǔn	/deficit/(financial) loss/
捆绑	kǔnbǎng	/to bind/
扩充	kuòchōng	/to expand/
扩散	kuòsàn	/to spread; to proliferate; to diffuse/
扩张	kuòzhāng	/expansion/dilation/to expand (e.g. one's power or influence)/to broaden/
喇叭	lǎba	/horn (automobile etc)/loudspeaker/brass wind instrument/trumpet/suona 鎖吶|锁呐[suo3 na4]/
蜡烛	làzhú	/candle/CL:根[gen1],支[zhi1]/
啦	la	/sentence-final particle, contraction of 了啊, indicating exclamation/particle placed after each item in a list of examples/
来历	láilì	/history/antecedents/origin/
来源	láiyuán	/source (of information etc)/origin/
栏目	lánmù	/regular column or segment (in a publication or broadcast program)/program (TV or radio)/
懒惰	lǎnduò	/idle/lazy/
狼狈	lángbèi	/in a difficult situation/to cut a sorry figure/scoundrel! (derog.)/
狼吞虎咽	lángtūnhǔyàn	/to wolf down one's food (idiom); to devour ravenously/to gorge oneself/
捞	lāo	/to fish up/to dredge up/
唠叨	láodao	/to prattle/to chatter away/to nag/garrulous/nagging/
牢固	láogù	/firm/secure/
牢骚	láosāo	/discontent/complaint/to complain/
乐趣	lèqù	/delight; pleasure; joy/
乐意	lèyì	/to be willing to do sth/to be ready to do sth/to be happy to do sth/content/satisfied/
雷达	léidá	/radar (loanword)/
类似	lèisì	/similar; analogous/
冷酷	lěngkù	/unfeeling; callous/
冷却	lěngquè	/to cool (lit. and fig.)/
冷落	lěngluò	/desolate/unfrequented/to treat sb coldly/to snub/to cold shoulder/
愣	lèng	/to look distracted/to stare blankly/distracted/blank/(coll.) unexpectedly/rash/rashly/
黎明	límíng	/dawn; daybreak/
里程碑	lǐchéngbēi	/milestone/
礼节	lǐjié	/etiquette/
礼尚往来	lǐshàngwǎnglái	/lit. proper behavior is based on reciprocity (idiom)/fig. to return politeness for politeness/
理睬	lǐcǎi	/to heed/to pay attention to/
理所当然	lǐsuǒdāngrán	/as it should be by rights (idiom); proper and to be expected as a matter of course/inevitable and right/
理直气壮	lǐzhíqìzhuàng	/in the right and self-confident (idiom); bold and confident with justice on one's side/to have the courage of one's convictions/just and forceful/
理智	lǐzhì	/reason/intellect/rationality/rational/
粒	lì	/grain/granule/classifier for small round things (peas, bullets, peanuts, pills, grains etc)/
立场	lìchǎng	/position/standpoint/CL:個|个[ge4]/
立方	lìfāng	/cube (math.)/abbr. for 立方體|立方体[li4 fang1 ti3]/abbr. for 立方米[li4 fang1 mi3]/
立交桥	lìjiāoqiáo	/overpass/flyover/
立体	lìtǐ	/three-dimensional/solid/stereoscopic/
立足	lìzú	/to stand/to have a footing/to be established/to base oneself on/
历代	lìdài	/successive generations/successive dynasties/past dynasties/
历来	lìlái	/always/throughout (a period of time)/(of) all-time/
利害	lìhài	/terrible/formidable/serious/devastating/tough/capable/sharp/severe/fierce/
力所能及	lìsuǒnéngjí	/as far as one's capabilities extend (idiom); to the best of one's ability/within one's powers/
力争	lìzhēng	/to work hard for/to do all one can/to contend strongly/
力求	lìqiú	/to make every effort to/striving to do one's best/
例外	lìwài	/exception/to be an exception/
连年	liánnián	/successive years/over many years/
连锁	liánsuǒ	/to interlock/to be linked/chain (store etc)/
连同	liántóng	/together with/along with/
联欢	liánhuān	/to have a get-together/celebration/party/
联络	liánluò	/to get in touch with/to contact/to stay in contact (with)/liaison/(math.) connection/
联盟	liánméng	/alliance/union/coalition/
联想	liánxiǎng	/to associate (cognitively)/to make an associative connection/mental association/word prediction and auto-complete functions of input method editing programs/
廉洁	liánjié	/incorruptible; unbribable; honest/
良心	liángxīn	/conscience/
晾	liàng	/to dry in the air/(fig.) to cold-shoulder/
谅解	liàngjiě	/to understand/to make allowances for/understanding/
辽阔	liáokuò	/vast; extensive/
列举	lièjǔ	/a list/to list/to enumerate/
淋	lín	/to filter/to strain/to drain/gonorrhea/(TCM) strangury/
临床	línchuáng	/clinical/
吝啬	lìnsè	/stingy; mean; miserly/
零星	língxīng	/fragmentary/random/bits and pieces/sporadic/
凌晨	língchén	/very early in the morning/in the wee hours/
灵感	línggǎn	/inspiration/insight/a burst of creativity in scientific or artistic endeavor/
灵魂	línghún	/soul/spirit/
灵敏	língmǐn	/smart/clever/sensitive/keen/quick/sharp/
伶俐	línglì	/clever; witty; intelligent/
领会	lǐnghuì	/to understand/to comprehend/to grasp/
领事馆	lǐngshìguǎn	/consulate/
领土	lǐngtǔ	/territory/
领悟	lǐngwù	/to understand/to comprehend/
领先	lǐngxiān	/to lead/to be in front/
领袖	lǐngxiù	/leader/
溜	liū	/used in 冰溜[bing1 liu4]/
留恋	liúliàn	/reluctant to leave/to hate to have to go/to recall fondly/
留念	liúniàn	/to keep as a souvenir/to recall fondly/
留神	liúshén	/to take care/to be careful/
流浪	liúlàng	/to drift about/to wander/to roam/nomadic/homeless/unsettled (e.g. population)/vagrant/
流露	liúlù	/to reveal (indirectly, implicitly)/to show (interest, contempt etc) by means of one's actions, tone of voice etc/
流氓	liúmáng	/rogue/hoodlum/gangster/immoral behavior/
流通	liútōng	/to circulate; to distribute/circulation; distribution/
聋哑	lóngyǎ	/deaf and nonverbal/
隆重	lóngzhòng	/grand/prosperous/ceremonious/solemn/
垄断	lǒngduàn	/to monopolize/
笼罩	lǒngzhào	/to envelop/to shroud/
搂	lǒu	/to hug/to embrace/to hold in one's arms/
炉灶	lúzào	/stove/
轮船	lúnchuán	/steamship; steamer; steamboat/CL:艘[sou1]/
轮廓	lúnkuò	/outline; silhouette/
轮胎	lúntāi	/tire; pneumatic tire/
论坛	lùntán	/forum (for discussion)/
论证	lùnzhèng	/to prove a point/to expound on/to demonstrate or prove (through argument)/proof/
啰唆	luōsuo	/variant of 囉嗦|啰嗦[luo1 suo5]/
落成	luòchéng	/to complete a construction project/
落实	luòshí	/practical/workable/to implement/to carry out/to decide/
络绎不绝	luòyìbùjué	/(idiom) continuously; in an endless stream/
屡次	lǚcì	/repeatedly/time and again/
履行	lǚxíng	/to fulfill (one's obligations)/to carry out (a task)/to implement (an agreement)/to perform/
掠夺	lüèduó	/to plunder/to rob/
麻痹	mábì	/paralysis/palsy/numbness/to benumb/(fig.) to lull/negligent/apathetic/
麻木	mámù	/numb/insensitive/apathetic/
麻醉	mázuì	/anesthesia/to anesthetize; (fig.) to corrupt (sb's mind); to enervate; to numb the mind (to escape from harsh reality)/
码头	mǎtóu	/dock/pier/wharf/CL:個|个[ge4]/
蚂蚁	mǎyǐ	/ant/
嘛	ma	/modal particle indicating that sth is obvious/particle indicating a pause for emphasis/
埋伏	máifú	/to ambush/to lie in wait for/to lie low/ambush/
埋没	máimò	/to engulf/to bury/to overlook/to stifle/to neglect/to fall into oblivion/
埋葬	máizàng	/to bury/
迈	mài	/to take a step/to stride/
脉搏	màibó	/pulse (both medical and figurative)/
埋怨	mányuàn	/to complain/to grumble (about)/to reproach/to blame/
慢性	mànxìng	/slow and patient/chronic (disease)/slow to take effect (e.g. a slow poison)/
漫长	màncháng	/very long/endless/
漫画	mànhuà	/caricature/cartoon/Japanese manga/
蔓延	mànyán	/to extend/to spread/
忙碌	mánglù	/busy; bustling/
茫茫	mángmáng	/boundless/vast and obscure/
茫然	mángrán	/blankly/vacantly/at a loss/
盲目	mángmù	/blind/blindly/ignorant/lacking understanding/
冒充	màochōng	/to feign/to pretend to be/to pass oneself off as/
冒犯	màofàn	/to offend/
茂盛	màoshèng	/lush/
枚	méi	/classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc/tree trunk/whip/wooden peg, used as a gag for marching soldiers (old)/
媒介	méijiè	/intermediary/vehicle/vector/medium/media/
美观	měiguān	/pleasing to the eye/beautiful/artistic/
美满	měimǎn	/happy/blissful/
美妙	měimiào	/beautiful/wonderful/splendid/
萌芽	méngyá	/to sprout (lit. or fig.)/to bud/to germinate/germ/seed/bud/
猛烈	měngliè	/fierce; violent; vigorous; intense/
眯	mī	/to narrow one's eyes/to squint/(dialect) to take a nap/
弥补	míbǔ	/to complement/to make up for a deficiency/
弥漫	mímàn	/variant of 彌漫|弥漫[mi2 man4]/
迷惑	míhuò	/to puzzle/to confuse/to baffle/
迷人	mírén	/fascinating/enchanting/charming/tempting/
迷信	míxìn	/superstition/to have a superstitious belief (in sth)/
谜语	míyǔ	/riddle/conundrum/CL:條|条[tiao2]/
密度	mìdù	/density/thickness/
密封	mìfēng	/to seal up/
棉花	miánhua	/cotton/
免得	miǎndé	/so as not to; so as to avoid/
免疫	miǎnyì	/immunity (to disease)/
勉励	miǎnlì	/to encourage/
勉强	miǎnqiǎng	/to do with difficulty/to force sb to do sth/reluctant/barely enough/
面貌	miànmào	/face; features/appearance; look/CL:個|个[ge4]/
面子	miànzi	/(medicinal) powder/
描绘	miáohuì	/to describe; to depict; to portray/
瞄准	miáozhǔn	/to take aim at; to target/
渺小	miǎoxiǎo	/minute/tiny/negligible/insignificant/
藐视	miǎoshì	/to despise/to look down on/
蔑视	mièshì	/to loathe/to despise/contempt/
灭亡	mièwáng	/to be destroyed; to become extinct; to perish; to die out/to destroy; to exterminate/
民间	mínjiān	/among the people/popular/folk/non-governmental/involving people rather than governments/
民主	mínzhǔ	/democracy/
敏捷	mǐnjié	/nimble/quick/shrewd/
敏锐	mǐnruì	/keen; sharp; acute/
明明	míngmíng	/obviously/plainly/undoubtedly/definitely/
明智	míngzhì	/sensible/wise/judicious/sagacious/
名次	míngcì	/position in a ranking of names/place/rank/
名额	míng’é	/quota/number of places/place (in an institution, a group etc)/
名副其实	míngfùqíshí	/not just in name only, but also in reality (idiom)/aptly named/worthy of the name/
名誉	míngyù	/fame/reputation/honor/honorary/emeritus (of retired professor)/
命名	mìngmíng	/to give a name to/to dub/to christen/to designate/named after/naming/
摸索	mōsuǒ	/to feel about/to grope about/to fumble/to do things slowly/
膜	mó	/membrane/film/
摩擦	mócā	/friction/rubbing/chafing/fig. disharmony/conflict/also written 磨擦/
磨合	móhé	/to break in/to wear in/
模范	mófàn	/model/fine example/
模式	móshì	/mode/method/pattern/
模型	móxíng	/model/mold/matrix/pattern/
魔鬼	móguǐ	/devil/
魔术	móshù	/magic/
抹杀	mǒshā	/to erase/to cover traces/to obliterate evidence/to expunge/to blot out/to suppress/
莫名其妙	mòmíng-qímiào	/(idiom) baffling; bizarre; without rhyme or reason; inexplicable/
默默	mòmò	/in silence; not speaking/
墨水儿	mòshuǐr	/erhua variant of 墨水[mo4 shui3]/
谋求	móuqiú	/to seek; to strive for/
模样	múyàng	/look/style/appearance/approximation/about/CL:個|个[ge4]/also pr. [mo2 yang4]/
母语	mǔyǔ	/native language/mother tongue/(linguistics) parent language/
目睹	mùdǔ	/to witness/to see at first hand/to see with one's own eyes/
目光	mùguāng	/gaze; (fig.) attention/expression in one's eyes; look/(lit. and fig.) sight; vision/
沐浴	mùyù	/to take a bath/to bathe/to immerse/
拿手	náshǒu	/expert in/good at/
纳闷儿	nàmènr	/erhua variant of 納悶|纳闷[na4 men4]/
耐用	nàiyòng	/durable/
南辕北辙	nányuánběizhé	/to act in a way that defeats one's purpose (idiom)/
难得	nándé	/seldom/rare/hard to come by/
难堪	nánkān	/hard to take/embarrassed/
难能可贵	nánnéngkěguì	/rare and precious/valuable/remarkable/
恼火	nǎohuǒ	/annoyed; riled; vexed/
内涵	nèihán	/meaningful content/implication/(semantics) connotation/inner qualities (of a person)/
内幕	nèimù	/inside story/non-public information/behind the scenes/internal/
内在	nèizài	/inner/internal/intrinsic/innate/
能量	néngliàng	/energy/capabilities/
拟定	nǐdìng	/to draw up/to draft/to formulate/
逆行	nìxíng	/to go the wrong way/to go against one-way traffic regulation/
年度	niándù	/year (e.g. school year, fiscal year)/annual/
捏	niē	/variant of 捏[nie1]/
拧	níng	/stubborn/
凝固	nínggù	/to freeze/to solidify/to congeal/fig. with rapt attention/
凝聚	níngjù	/to condense/to coagulate/coacervation (i.e. form tiny droplets)/aggregation/coherent/
凝视	níngshì	/to gaze at/to fix one's eyes on/
宁肯	nìngkěn	/would rather.../it would be better.../would prefer/
宁愿	nìngyuàn	/would rather ... (than ...)/
纽扣儿	niǔkòur	button
